city,sector,orders_per_week,avg_weight_kg,business_model,pct_ultra_urgent,pct_same_day,pct_next_day,peak_hours,avg_distance_km,current_provider,curr_time_hr,curr_cost_aed,fail_rate_band,tracking_sat,delay_churn,eta_importance,fuel_pain,prem_fast_pct,top_pain,stops_per_route,traffic_level,dispatch_day,vehicle_type,fuel_price,cost_threshold_aedkm,time_value_aed,wage_share_pct,maint_cost_aedkm,fuel_strategy,overall_csat,renew_intent,nps,switch_past,repeat_speed_impact,trust_ai,ai_dashboard_influence,choose_speed_equalcost,ai_worry,ai_cost_saving_est,growth_pct_nextyr,expand_timeline,launch_zone_pref,season_peaks,beta_opt_in,api_integration,returns_pct,co2_importance,analytics_usage,contract_term_pref
Sharjah,Manufacturing,4.0,3.97,B2B,7.6,49.1,43.3,"6-9 PM,6-9 AM,12-3 PM",11.3,Aramex,9.2,43.88,3-5 %,4.0,2.0,5.0,2.0,10.4,Poor support,6.0,Moderate,Weekdays,N/A,2.61,2.53,9.68,100.0,0.37,Absorb cost,5.0,3.0,5.0,No,3.0,3.0,2.0,5.0,Data privacy,5.9,27.3,6 mo,Dubai core,"Eid,DSF,Back-to-School",No,Yes,44.3,5.0,5.0,Month-to-month
Dubai,Manufacturing,14.0,1.46,B2B,15.7,50.5,33.8,3-6 PM,9.4,Fetchr,6.8,39.95,3-5 %,4.0,5.0,3.0,3.0,10.3,Poor support,2.0,Heavy,Weekdays,Van,2.89,3.99,5.31,37.8,0.87,Reduce service area,5.0,2.0,4.0,No,3.0,3.0,4.0,5.0,Data privacy,8.2,32.9,3 mo,Dubai core,"Ramadan,Back-to-School",No,Yes,22.8,2.0,5.0,6 months
Ajman,E-commerce,4.0,2.27,Both,18.9,55.8,25.3,"3-6 PM,6-9 PM",101.8,Competitor A,9.8,26.69,1-3 %,1.0,3.0,5.0,2.0,11.0,Cost overruns,4.0,Light,Weekdays,Van,2.79,2.5,15.58,21.6,0.67,Absorb cost,4.0,5.0,0.0,No,5.0,4.0,4.0,3.0,None,8.6,33.5,No plans,Abu Dhabi suburbs,"Back-to-School,DSF",No,Yes,3.2,3.0,5.0,1 year
Abu Dhabi,E-commerce,102.0,6.12,Both,4.2,78.3,17.5,6-9 AM,17.2,Aramex,33.3,49.11,<1 %,5.0,5.0,5.0,5.0,3.7,Poor support,4.0,Heavy,Weekdays,Van,2.88,3.34,13.84,42.6,0.89,Switch provider,4.0,4.0,8.0,No,3.0,4.0,4.0,4.0,Tech failures,9.9,19.1,3 mo,Sharjah industrial,None,No,Yes,29.1,3.0,4.0,6 months
Dubai,Pharma & Med-supplies,23.0,6.04,B2B,4.9,75.6,19.5,"6-9 AM,3-6 PM",78.7275736076571,Competitor B,10.4,16.3,1-3 %,1.0,4.0,5.0,5.0,7.4,Delay,4.0,Moderate,Weekends,Van,2.97,4.62,23.97,36.0,0.36,Reduce service area,3.0,1.0,1.0,Yes,3.0,3.0,5.0,5.0,None,15.0,22.7,12 mo+,Dubai core,"Back-to-School,Year-end,Eid",Yes,No,14.5,5.0,4.0,1 year
Other,E-commerce,22.0,2.76,B2C,23.1,50.4,26.5,"6-9 PM,12-3 PM",40.7,Other,7.4,46.21,<1 %,1.0,4.0,2.0,5.0,6.8,Damaged goods,4.0,Moderate,Equally both,Mix,2.9,3.62,15.82,39.0,0.66,Raise delivery fee,1.0,2.0,10.0,No,5.0,3.0,4.0,5.0,Tech failures,12.5,7.0,6 mo,Sharjah industrial,,Yes,Yes,23.9,4.0,3.0,Month-to-month
Sharjah,Pharma & Med-supplies,24.0,9.8,B2B,16.3,57.7,26.0,"6-9 PM,3-6 PM,6-9 AM",5.7,Competitor A,6.3,55.21,<1 %,1.0,5.0,5.0,3.0,16.0,Delay,4.0,Light,Weekdays,Van,3.03,4.43,10.01,37.1,0.87,Switch provider,2.0,3.0,6.0,No,4.0,4.0,4.0,4.0,None,3.1,14.9,6 mo,Dubai core,"DSF,Year-end,Back-to-School",No,Yes,8.0,5.0,2.0,Month-to-month
Sharjah,Other,32.0,2.68,B2C,23.5,67.9,8.6,"6-9 PM,12-3 PM,9 AM-12",70.2,Competitor B,8.1,11.26,3-5 %,4.0,5.0,5.0,2.0,5.2,Delay,6.0,Light,Weekdays,Van,2.98,4.27,11.59,22.7,0.66,Absorb cost,4.0,5.0,6.0,No,4.0,4.0,4.0,3.0,Data privacy,7.3,14.5,6 mo,Sharjah industrial,DSF,Yes,No,26.7,4.0,4.0,Month-to-month
Dubai,E-commerce,43.0,4.38,Both,100.0,49.1,28.1,"12-3 PM,3-6 PM",17.1,Competitor A,11.0,31.96,1-3 %,1.0,5.0,5.0,4.0,4.4,Billing errors,3.0,Moderate,Equally both,Mix,2.97,3.4,27.06,29.7,0.97,Raise delivery fee,5.0,4.0,1.0,No,3.0,3.0,4.0,1.0,Tech failures,16.7,0.2,No plans,Dubai core,Ramadan,Yes,No,27.7,39.57237687968671,4.0,1 year
Abu Dhabi,Pharma & Med-supplies,5.0,4.31,B2B,7.0,47.4,45.7,6-9 PM,19.6,Aramex,16.9,34.76,1-3 %,4.0,4.0,4.0,3.0,10.8,Poor support,4.0,Moderate,Weekdays,N/A,3.21,4.55,25.12,34.5,0.84,Raise delivery fee,4.0,3.0,3.0,Yes,4.0,4.0,5.0,2.0,Data privacy,16.7,14.4,6 mo,Dubai core,,No,No,29.5,5.0,2.0,2+ years
Dubai,Manufacturing,57.0,1.49,B2B,3.0,69.8,27.3,3-6 PM,13.2,Competitor B,155.75203824903016,16.45,1-3 %,4.0,4.0,3.0,1.0,10.1,Damaged goods,6.0,Light,Equally both,Truck,3.02,3.88,5.07,40.6,0.67,Raise delivery fee,5.0,4.0,6.0,Yes,4.0,4.0,4.0,5.0,Tech failures,4.7,26.5,No plans,Northern Emirates,Ramadan,No,No,34.0,5.0,3.0,Month-to-month
RAK,Grocery/Retail,54.0,3.11,B2C,12.7,70.1,17.2,12-3 PM,24.2,Aramex,17.4,13.63,1-3 %,2.0,3.0,4.0,2.0,7.6,Cost overruns,3.0,Moderate,Weekdays,Bike,3.27,3.18,5.22,28.1,0.75,Switch provider,5.0,3.0,9.0,Yes,4.0,4.0,5.0,5.0,Data privacy,16.0,32.6,No plans,Dubai core,Eid,Yes,Yes,35.9,3.0,4.0,6 months
Abu Dhabi,E-commerce,19.0,13.85,B2B,30.5,41.1,28.4,"3-6 PM,9 AM-12,6-9 AM",14.5,In-house,21.1,34.83,<1 %,3.0,4.0,5.0,2.0,12.4,Poor support,8.0,Moderate,Weekends,Van,2.99,3.88,26.4,24.4,0.68,Raise delivery fee,5.0,3.0,4.0,No,5.0,5.0,4.0,2.0,Driver adoption,5.7,35.2,No plans,Dubai core,"Back-to-School,DSF",Yes,No,65.1,4.0,3.0,Month-to-month
Sharjah,E-commerce,18.0,1.91,B2B,17.5,67.4,15.1,"6-9 AM,6-9 PM,3-6 PM",21.1,Aramex,17.3,40.87,<1 %,1.0,3.0,4.0,2.0,5.4,Cost overruns,6.0,Heavy,Equally both,N/A,2.99,4.45,6.21,31.6,0.7,Raise delivery fee,4.0,4.0,3.0,No,2.0,2.0,3.0,4.0,Tech failures,14.0,12.8,12 mo+,Abu Dhabi suburbs,None,Yes,No,20.8,2.0,5.0,Month-to-month
Dubai,Other,1.0,4.83,B2C,42.4,34.7,22.9,"12-3 PM,6-9 PM,3-6 PM",11.4,Competitor A,18.9,27.18,>10 %,3.0,4.0,5.0,3.0,6.1,Damaged goods,2.0,Heavy,Weekdays,Mix,2.87,2.5,16.95,31.3,0.53,Reduce service area,3.0,4.0,6.0,Yes,5.0,3.0,5.0,5.0,Tech failures,15.8,27.6,12 mo+,Abu Dhabi suburbs,"DSF,Eid,Back-to-School",No,No,10.1,5.0,3.0,Month-to-month
Dubai,E-commerce,7.0,1.66,B2C,28.6,41.1,30.3,9 AM-12,25.8,Fetchr,44.8,23.49,<1 %,4.0,4.0,4.0,2.0,19.3,Damaged goods,3.0,Moderate,Weekends,Van,3.19,3.65,19.84,38.4,0.85,Raise delivery fee,5.0,3.0,8.0,Yes,5.0,4.0,5.0,4.0,Tech failures,9.5,12.3,12 mo+,Sharjah industrial,DSF,No,Yes,6.2,3.0,5.0,1 year
Abu Dhabi,Electronics,30.0,1.9,Both,10.8,74.8,14.4,3-6 PM,17.6,Aramex,15.8,39.19,<1 %,5.0,5.0,4.0,4.0,5.2,Delay,47.049244937544174,Moderate,Weekdays,Bike,3.06,2.72,8.23,37.1,0.59,Absorb cost,5.0,4.0,5.0,No,3.0,5.0,4.0,5.0,None,2.6,3.5,No plans,Dubai core,"Eid,DSF",No,No,6.1,3.0,5.0,Month-to-month
Dubai,Food-delivery,52.0,1.42,Both,21.2,31.2,47.5,"6-9 PM,9 AM-12",26.0,Competitor A,12.5,12.34,3-5 %,4.0,23.241127341863912,3.0,1.0,3.4,Delay,3.0,Heavy,Weekdays,Bike,2.88,3.76,12.2,41.9,0.54,Absorb cost,2.0,3.0,9.0,No,4.0,2.0,3.0,4.0,Driver adoption,6.0,19.8,No plans,Northern Emirates,,No,Yes,20.5,3.0,5.0,Month-to-month
Sharjah,E-commerce,35.0,5.84,B2C,16.9,9.5,73.6,12-3 PM,18.5,Other,12.2,66.21,<1 %,1.0,5.0,16.491981372560254,2.0,10.0,Poor support,8.0,Light,Weekends,Truck,3.13,4.13,6.45,35.6,0.9,Switch provider,5.0,4.0,0.0,No,4.0,5.0,5.0,4.0,None,5.4,18.0,6 mo,Abu Dhabi suburbs,,No,Yes,21.6,2.0,2.0,Month-to-month
Abu Dhabi,Manufacturing,18.0,1.97,Both,20.9,63.9,15.1,12-3 PM,73.1,Other,9.8,113.69,3-5 %,1.0,3.0,5.0,4.0,7.1,Delay,5.0,Light,Weekdays,Mix,3.09,5.19,2.47,38.2,1.03,Switch provider,5.0,5.0,5.0,Yes,5.0,4.0,3.0,4.0,Driver adoption,8.7,16.9,3 mo,Northern Emirates,DSF,No,Yes,10.0,5.0,5.0,6 months
Sharjah,E-commerce,93.0,7.1,B2C,22.9,100.0,24.0,"3-6 PM,6-9 AM",20.8,Competitor A,7.9,31.96,1-3 %,2.0,5.0,3.0,3.0,9.9,Delay,6.0,Light,Weekends,Van,3.37,4.77,13.24,20.2,0.96,Raise delivery fee,3.0,2.0,9.0,No,3.0,4.0,5.0,4.0,None,10.8,18.0,3 mo,Abu Dhabi suburbs,Back-to-School,Yes,Yes,21.1,4.0,5.0,6 months
Dubai,E-commerce,44.0,2.41,B2C,28.4,35.7,35.9,"9 AM-12,6-9 PM",37.9,Aramex,5.7,67.31,1-3 %,3.0,4.0,5.0,2.0,5.1,Poor support,7.0,Moderate,Equally both,Van,3.0,3.42,12.04,34.2,0.93,Reduce service area,5.0,5.0,0.0,No,5.0,3.0,5.0,4.0,None,16.7,39.5,12 mo+,Abu Dhabi suburbs,"DSF,Year-end,Back-to-School",No,Yes,64.8,5.0,5.0,6 months
Other,Pharma & Med-supplies,14.0,3.59,B2B,1.1,42.6,56.3,"6-9 AM,6-9 PM",22.2,Aramex,46.4,51.36,5-10 %,3.0,5.0,3.0,4.0,22.8,Delay,3.0,Heavy,Equally both,Van,3.1,5.25,17.54,44.7,0.98,Raise delivery fee,5.0,3.0,5.0,No,3.0,5.0,5.0,3.0,Tech failures,2.7,17.4,12 mo+,Northern Emirates,None,Yes,No,2.5,5.0,4.0,Month-to-month
Ajman,Other,115.0,4.25,B2B,14.1,62.8,23.1,"9 AM-12,6-9 AM,3-6 PM",41.8,Competitor A,8.4,138.15,<1 %,5.0,4.0,3.0,4.0,9.6,Poor support,10.0,Heavy,Weekdays,N/A,3.18,4.05,20.71,32.9,0.78,Reduce service area,5.0,4.0,0.0,No,4.0,4.0,3.0,5.0,None,14.1,17.8,No plans,Sharjah industrial,None,No,Yes,16.0,3.0,4.0,2+ years
Sharjah,E-commerce,8.0,1.26,B2C,29.0,32.7,38.3,12-3 PM,15.7,Competitor A,18.4,7.12,5-10 %,2.0,5.0,5.0,3.0,8.9,Delay,4.0,Light,Weekdays,Van,3.07,2.5,14.66,23.1,1.02,Raise delivery fee,4.0,1.0,2.0,No,4.0,1.0,5.0,5.0,Driver adoption,14.9,15.6,12 mo+,Dubai core,"DSF,Year-end,Ramadan",Yes,Yes,18.4,5.0,3.0,1 year
Dubai,E-commerce,6.0,3.75,Both,20.8,40.6,38.6,"12-3 PM,6-9 PM",18.5,In-house,12.9,44.34,3-5 %,1.0,5.0,3.0,1.0,8.6,Delay,2.0,Heavy,Weekends,Van,2.68,4.94,7.02,41.3,0.84,Reduce service area,2.0,5.0,4.0,No,5.0,4.0,3.0,3.0,None,6.7,30.5,3 mo,Northern Emirates,,Yes,No,3.0,3.0,3.0,1 year
Abu Dhabi,Other,14.0,4.1,B2C,23.3,45.8,30.8,"9 AM-12,12-3 PM",24.0,Competitor B,11.8,6.62,1-3 %,5.0,4.0,4.0,2.0,1.7,Delay,5.0,Moderate,Weekdays,Mix,3.19,4.77,11.22,41.4,0.92,Absorb cost,5.0,3.0,8.0,No,3.0,4.0,5.0,4.0,None,12.5,3.2,6 mo,Dubai core,Year-end,No,Yes,12.7,3.0,5.0,Month-to-month
Dubai,E-commerce,10.0,6.58,Both,29.2,34.5,36.4,9 AM-12,5.5,Aramex,14.4,16.93,3-5 %,2.0,5.0,4.0,3.0,3.9,Delay,5.0,Moderate,Weekdays,Mix,3.1,4.47,13.3,27.5,0.86,Switch provider,3.0,2.0,0.0,No,5.0,5.0,3.0,3.0,None,5.8,12.9,No plans,Northern Emirates,"Eid,Ramadan",Yes,Yes,5.8,1.0,4.0,6 months
Dubai,Food-delivery,15.0,1.87,B2B,13.1,46.9,40.0,"3-6 PM,6-9 PM,12-3 PM",30.1,In-house,13.1,28.81,3-5 %,4.0,4.0,5.0,2.0,16.1,Delay,3.0,Moderate,Weekends,Van,2.89,3.25,8.76,31.0,0.88,Absorb cost,2.0,2.0,10.0,No,4.0,4.0,4.0,3.0,None,4.6,28.1,12 mo+,Dubai core,"Ramadan,Year-end",No,No,27.2,1.0,4.0,1 year
Abu Dhabi,Electronics,38.0,2.03,B2B,29.1,65.7,5.2,"6-9 AM,3-6 PM",13.9,In-house,4.6,23.91,<1 %,2.0,5.0,4.0,3.0,8.8,Poor support,5.0,Moderate,Weekdays,Mix,3.13,3.09,7.57,25.1,0.68,Switch provider,4.0,3.0,0.0,No,3.0,5.0,5.0,3.0,Tech failures,12.5,15.7,3 mo,Dubai core,,No,Yes,17.7,4.0,5.0,1 year
Sharjah,Grocery/Retail,19.0,4.93,Both,17.1,42.6,100.0,"6-9 PM,9 AM-12,12-3 PM",18.1,Aramex,13.6,61.27,3-5 %,3.0,3.0,5.0,2.0,9.6,Billing errors,4.0,Moderate,Weekends,Mix,2.76,3.25,11.13,32.6,0.45,Raise delivery fee,5.0,4.0,3.0,No,5.0,5.0,4.0,3.0,Data privacy,7.4,12.5,3 mo,Sharjah industrial,,Yes,Yes,14.5,4.0,1.0,2+ years
Fujairah,Manufacturing,19.0,7.75,B2B,37.7,51.9,10.4,6-9 AM,43.3,Other,17.6,86.96,5-10 %,1.0,3.0,3.0,2.0,17.3,Delay,3.0,Light,Weekends,Mix,3.14,6.19,11.93,36.9,0.68,Absorb cost,5.0,5.0,2.0,No,2.0,4.0,5.0,1.0,Driver adoption,19.9,10.4,12 mo+,Dubai core,Back-to-School,Yes,Yes,15.3,5.0,4.0,6 months
Dubai,Manufacturing,21.0,2.33,B2C,24.4,11.6,64.0,6-9 AM,23.6,In-house,17.2,39.19,<1 %,5.0,2.0,2.0,3.0,19.1,Poor support,5.0,Moderate,Weekdays,Bike,3.09,5.8,14.05,32.8,1.06,Raise delivery fee,4.0,5.0,7.0,Yes,4.0,3.0,5.0,4.0,Tech failures,7.0,13.0,3 mo,Abu Dhabi suburbs,None,Yes,Yes,19.8,5.0,4.0,Month-to-month
Dubai,E-commerce,3.0,1.58,B2B,8.5,55.0,36.5,"9 AM-12,12-3 PM,6-9 AM",16.6,Aramex,7.7,141.6,<1 %,2.0,4.0,4.0,4.0,2.8,Damaged goods,2.0,Moderate,Weekdays,Mix,3.14,5.55,11.46,22.9,0.89,Raise delivery fee,4.0,4.0,8.0,No,3.0,5.0,3.0,5.0,Data privacy,4.2,7.0,No plans,Northern Emirates,None,Yes,Yes,16.9,5.0,4.0,Month-to-month
Abu Dhabi,Other,5.0,2.75,Both,26.6,24.6,48.8,"12-3 PM,9 AM-12,6-9 AM",28.0,Competitor A,16.8,14.63,<1 %,5.0,3.0,3.0,3.0,13.3,Poor support,5.0,Heavy,Weekends,N/A,2.79,3.14,12.82,29.9,0.81,Absorb cost,4.0,3.0,0.0,Yes,4.0,4.0,5.0,35.15346860002352,Tech failures,1.8,13.7,12 mo+,Dubai core,None,Yes,Yes,39.5,3.0,4.0,1 year
